title,detail_url,mockup_url,pdf_url,pattern
Discotheque in Moss / DT23,https://raw.githubusercontent.com/fayekaubell/speakeasy/refs/heads/main/images/FayeBell-DT23-27w.jpg,https://raw.githubusercontent.com/fayekaubell/speakeasy/refs/heads/main/images/FayeBell-DT23-Mockup-48.jpg,https://github.com/fayekaubell/speakeasy/blob/main/images/DR02.2-Repeat-1.3-Scale.jpg,Discotheque
Discotheque in Lagoon / DT24,https://raw.githubusercontent.com/fayekaubell/speakeasy/refs/heads/main/images/FayeBell-DT24-27w.jpg,https://raw.githubusercontent.com/fayekaubell/speakeasy/refs/heads/main/images/FayeBell-DT24-Mockup-27.jpg,https://github.com/fayekaubell/speakeasy/blob/main/images/DR02.2-Repeat-1.3-Scale.jpg,Discotheque
Discotheque in Harbor / DT25,https://raw.githubusercontent.com/fayekaubell/speakeasy/refs/heads/main/images/FayeBell-DT25-27w.jpg,https://raw.githubusercontent.com/fayekaubell/speakeasy/refs/heads/main/images/FayeBell-DT25-Mockup-47.jpg,https://github.com/fayekaubell/speakeasy/blob/main/images/DR02.2-Repeat-1.3-Scale.jpg,Discotheque
Discotheque in Celery / DT26,https://raw.githubusercontent.com/fayekaubell/speakeasy/refs/heads/main/images/FayeBell-DT26-27w.jpg,https://raw.githubusercontent.com/fayekaubell/speakeasy/refs/heads/main/images/FayeBell-DT26-Mockup-59.jpg,https://github.com/fayekaubell/speakeasy/blob/main/images/DR02.2-Repeat-1.3-Scale.jpg,Discotheque
Discotheque in Dove / DT27,https://raw.githubusercontent.com/fayekaubell/speakeasy/refs/heads/main/images/FayeBell-DT27-27w.jpg,https://raw.githubusercontent.com/fayekaubell/speakeasy/refs/heads/main/images/FayeBell-DT27-Mockup-53.jpg,https://github.com/fayekaubell/speakeasy/blob/main/images/DR02.2-Repeat-1.3-Scale.jpg,Discotheque
Discotheque in Saffron / DT28,https://raw.githubusercontent.com/fayekaubell/speakeasy/refs/heads/main/images/FayeBell-DT28-27w.jpg,https://raw.githubusercontent.com/fayekaubell/speakeasy/refs/heads/main/images/FayeBell-DT28-Mockup-46.jpg,https://github.com/fayekaubell/speakeasy/blob/main/images/DR02.2-Repeat-1.3-Scale.jpg,Discotheque
Discotheque in Pine / DT29,https://raw.githubusercontent.com/fayekaubell/speakeasy/refs/heads/main/images/FayeBell-DT29-27w.jpg,https://raw.githubusercontent.com/fayekaubell/speakeasy/refs/heads/main/images/FayeBell-DT29-Mockup-48.jpg,https://github.com/fayekaubell/speakeasy/blob/main/images/DR02.2-Repeat-1.3-Scale.jpg,Discotheque
Discotheque in Peacock / DT30,https://raw.githubusercontent.com/fayekaubell/speakeasy/refs/heads/main/images/FayeBell-DT30-27w.jpg,https://raw.githubusercontent.com/fayekaubell/speakeasy/refs/heads/main/images/FayeBell-DT30-Mockup-52.jpg,https://github.com/fayekaubell/speakeasy/blob/main/images/DR02.2-Repeat-1.3-Scale.jpg,Discotheque
Discotheque in Spruce / DT36,https://raw.githubusercontent.com/fayekaubell/speakeasy/refs/heads/main/images/FayeBell-DT36-27w.jpg,https://raw.githubusercontent.com/fayekaubell/speakeasy/refs/heads/main/images/FayeBell-DT36-Mockup-60.jpg,https://github.com/fayekaubell/speakeasy/blob/main/images/DR02.2-Repeat-1.3-Scale.jpg,Discotheque
Discotheque in Prussian / DT37,https://raw.githubusercontent.com/fayekaubell/speakeasy/refs/heads/main/images/FayeBell-DT37-27w.jpg,https://raw.githubusercontent.com/fayekaubell/speakeasy/refs/heads/main/images/FayeBell-DT37-mockup-49.jpg,https://github.com/fayekaubell/speakeasy/blob/main/images/DR02.2-Repeat-1.3-Scale.jpg,Discotheque
Discotheque in Brick / DT38,https://raw.githubusercontent.com/fayekaubell/speakeasy/refs/heads/main/images/FayeBell-DT38-27w.jpg,https://raw.githubusercontent.com/fayekaubell/speakeasy/refs/heads/main/images/FayeBell-DT38-Mockup-34.jpg,https://github.com/fayekaubell/speakeasy/blob/main/images/DR02.2-Repeat-1.3-Scale.jpg,Discotheque
Discotheque in Thistle / DT21.1,https://raw.githubusercontent.com/fayekaubell/speakeasy/refs/heads/main/images/FayeBell-DT21.1-27w.jpg,https://raw.githubusercontent.com/fayekaubell/speakeasy/refs/heads/main/images/FayeBell-DT21.1-Mockup-40.jpg,https://github.com/fayekaubell/speakeasy/blob/main/images/DR02.2-Repeat-1.3-Scale.jpg,Discotheque
Discotheque in Golden Rod / DT32.1,https://raw.githubusercontent.com/fayekaubell/speakeasy/refs/heads/main/images/FayeBell-DT32.1-27w.jpg,https://raw.githubusercontent.com/fayekaubell/speakeasy/refs/heads/main/images/FayeBell-DT32.1-Mockup-29.jpg,https://github.com/fayekaubell/speakeasy/blob/main/images/DR02.2-Repeat-1.3-Scale.jpg,Discotheque
